"휴지는 필수, 예상보다 더 많이 울게 될 거예요. 보는 것 자체로 의미가 있는 영화.,10"
"엄마는 결국 같이 뛰어내려주는 존재,9"
"판도라 행성에서 다큐를 찍고 왔네,10"
"색감으로 인해 많이 잔인하다고 안 느껴졌으며 조니뎁의 연기가 인상깊어요,10"
"저는 아바타1편도 안봐서  기대안하고 보는데 너~무 재미있고 보면 볼수록 빠져들어서 너무 좋았어요.  3시간이 아깝지 안고  아바타3도 빨리 나오면 좋겠어요.,10"
"ㅠㅠ 설명할수 없는 감동이 ㅜㅜ 다들 꼭 보세요~~,10"
"현존하는 최고의 영화입니다,10"
"개망작영화 3000원 주고 봤는데도 돈 아까움제발 보지마세요,1"
"가슴을 울린 영화였다.,10"
"정성화 나문희가 살렸다 생각보다 뮤지컬적인 요소들이 자연스럽고 리드미컬하게 구성되어 이질감은 없었으나 상업영화의 장치로 의미 없는 유머코드로 감정선이 계속 흔들린다 제발 안중근(정성화) 하는 유머코드라도 뺏으면(베개맞는 씬, 부부가 아니라는 씬-개그맨 정성화가 떠오른다) 뮤지컬로 다시 보고싶다,8"
"인생 영화 입니다.많은 메세지가 담겨 있습니다.,10"
"뮤지컬도 너무 좋아했는데 뮤지컬을 이미 봣어서 그런가 뮤지컬만한 감동은 없었지만 기대 이상으로 만족하고 봣습니다,9"
"꼭 보세요. 다시한번 나라의 독립을 위해 목숨을 바치신 독립운동가분들께 허리숙여 감사드립니다.특히 윤석렬대통령이 보기를,10"
"전편보다 스토리측면에선 뻔했지만 눈으로 즐길수있는 최대한의 CG!!,9"
"1편은 올바름에 대한 정체성을 찾아가는 스토리라면 2편은 가족의 사랑과 책임에 대해서 많은 것을 느끼게 해주네요 한층 업그레이드 된 영상미와 각 캐릭터의 감정선을 잘 다루어서 지루하지 않게 3시간을 즐겼습니다,10"
"눈물을 넘 많이흘림ㅠㅠ,10"
"억지코믹은 어색했지만 노래도 좋고 독립운동에 대해 감사한마음이 드는 영화,7"
"제대로된 쏘우 시리즈가 보고 싶다,6"
"아바타 1보다 대단한 지원을 받은 곳의 사령관이 고작 과학자의 대형 포경선 하나 지원하는 영화. 아바타 1은 대형전투기 및 수많은 지원을 해줬는데 아바타 2에선 대형 전함도 아닌 과학자의 대형 포경선 하나? 물의 부족은 싸우다가 갑자기 사라지고, ‘투크’는 끝까지 활약 없이 짐덩이만 되는데 분량만 많고 실망이다. 감독님 3편만 믿겠습니다,6"
"한국인이라 그런지 먹먹 하게 들어오네요,10"
"I saw on 3D, It was so amazing and touched. The actors' performances were perfect! The production was awesome, too. Now I want to see the more series of AVATAR.,10"
"결말이 참신했음. 스포라서 말할순 없으나, 범인 밝혀낸 이후의 내용이 코난,김전일에서 보는 흔히 있는 결말이 아니라서 참신하고 좋았음.,10"
"CG로 도배한 만화. 스토리는 초딩 수준.,2"
"3시간이라는 러닝타임 동안 놀라움과 감동을 오롯이  느끼며 영화에 몰입할수 있었다. 위대한 자연과 가족, 연대가 하나될때 거대해보이는 폭력과 위협을 극복할수 있음을 느꼈다. I  see  you!!,10"
"기대가 좀 컸던 탓인지 눈이 높아진 것인지 그냥 어디선가 본 듯한 내용구성과 캐릭터들 심지어 외계동물(?) 들도 낯설지 않은 느낌.그냥 한 번 본거 또 보는 듯한 느낌이 ..,6"
"영화 보러 갈때 팝콘도 안 샀습니다. 진지하게 볼려고... 중간중간 개그가 흐름을 방해 했긴 하지만 그외엔 모두 만족 합니다 ㅋㅋㅋ,10"
"영화 끝나자마자 당장 소설책을 구매해야겠다고 느꼈다.,10"
"또 보러 갈듯요~ 아들이 또 보러 가자고 난리난리.,10"
